segment_variable,segment_value,customers,churners,churn_rate
Contract,Month-to-month,3875,1655,0.4270967741935484
Contract,One year,1473,166,0.1126951799049558
Contract,Two year,1695,48,0.0283185840707964
InternetService,Fiber optic,3096,1297,0.4189276485788114
InternetService,DSL,2421,459,0.1895910780669145
InternetService,No,1526,113,0.0740498034076015
PaymentMethod,Electronic check,2365,1071,0.4528541226215645
PaymentMethod,Mailed check,1612,308,0.1910669975186104
PaymentMethod,Bank transfer (automatic),1544,258,0.1670984455958549
PaymentMethod,Credit card (automatic),1522,232,0.152431011826544
TechSupport,No,3473,1446,0.4163547365390153
TechSupport,Yes,2044,310,0.1516634050880626
TechSupport,No internet service,1526,113,0.0740498034076015
OnlineSecurity,No,3498,1461,0.4176672384219554
OnlineSecurity,Yes,2019,295,0.1461119366022783
OnlineSecurity,No internet service,1526,113,0.0740498034076015
SeniorCitizen,1.0,1142,476,0.4168126094570928
SeniorCitizen,0.0,5901,1393,0.2360616844602609
PaperlessBilling,Yes,4171,1400,0.3356509230400383
PaperlessBilling,No,2872,469,0.1633008356545961
Partner,No,3641,1200,0.3295797857731392
Partner,Yes,3402,669,0.1966490299823633
Dependents,No,4933,1543,0.3127914048246503
Dependents,Yes,2110,326,0.1545023696682464
gender,Female,3488,939,0.2692087155963302
gender,Male,3555,930,0.2616033755274262
