feature,importance
tenure,0.1986579511436392
TotalCharges,0.1332977392390694
InternetService__Fiber_optic,0.1285491460350518
Contract__Two_year,0.0909222983379452
PaymentMethod__Electronic_check,0.080873262025899
InternetService__No,0.0753320695013152
MonthlyCharges,0.0649485253071557
TechSupport__Yes,0.0475067570565662
Contract__One_year,0.039252096290597
charges_per_month,0.0286200248520346
TechSupport__No_internet_service,0.0195551539220257
OnlineBackup__No_internet_service,0.0173062310434418
StreamingTV__No_internet_service,0.0167646789236438
OnlineBackup__Yes,0.0145625843519518
PaperlessBilling__Yes,0.0144957005789734
num_services,0.0083894656306334
PaymentMethod__Credit_card_automatic,0.0044395012608344
OnlineSecurity__Yes,0.0041563760229192
StreamingMovies__No_internet_service,0.0031165418557311
OnlineSecurity__No_internet_service,0.002427862070579
