threshold,churn_precision,churn_recall,churn_f1,TN,FP,FN,TP
0.2,0.4798,0.8381,0.6103,678,348,62,321
0.25,0.5209,0.812,0.6347,740,286,72,311
0.3,0.5583,0.7624,0.6446,795,231,91,292
0.35,0.5904,0.6736,0.6293,847,179,125,258
0.4,0.6114,0.6162,0.6138,876,150,147,236
0.45,0.6495,0.5614,0.6022,910,116,168,215
0.5,0.6642,0.4752,0.554,934,92,201,182
0.55,0.7023,0.3943,0.505,962,64,232,151
0.6,0.7383,0.2872,0.4135,987,39,273,110
0.65,0.7273,0.188,0.2988,999,27,311,72
0.7,0.8298,0.1018,0.1814,1018,8,344,39
